candidateId,typeCode,typeName,promptCode,folder,filename,sortOrder
L_01,A,구상 암시형,A01,구상암시형,L_01.png,1
L_02,A,구상 암시형,A02,구상암시형,L_02.png,2
L_03,A,구상 암시형,A03,구상암시형,L_03.png,3
L_04,A,구상 암시형,A04,구상암시형,L_04.png,4
L_05,A,구상 암시형,A05,구상암시형,L_05.png,5
L_06,A,구상 암시형,A06,구상암시형,L_06.png,6
L_07,A,구상 암시형,A07,구상암시형,L_07.png,7
L_08,A,구상 암시형,A08,구상암시형,L_08.png,8
L_09,A,구상 암시형,A09,구상암시형,L_09.png,9
L_10,A,구상 암시형,A10,구상암시형,L_10.png,10
L_11,A,구상 암시형,A11,구상암시형,L_11.png,11
L_12,A,구상 암시형,A12,구상암시형,L_12.png,12
L_13,A,구상 암시형,A13,구상암시형,L_13.png,13
L_14,A,구상 암시형,A14,구상암시형,L_14.png,14
L_15,B,기하학적 추상형,B01,기하학적추상,L_15.png,15
L_16,B,기하학적 추상형,B02,기하학적추상,L_16.png,16
L_17,B,기하학적 추상형,B03,기하학적추상,L_17.png,17
L_18,B,기하학적 추상형,B04,기하학적추상,L_18.png,18
L_19,B,기하학적 추상형,B05,기하학적추상,L_19.png,19
L_20,B,기하학적 추상형,B06,기하학적추상,L_20.png,20
L_21,B,기하학적 추상형,B07,기하학적추상,L_21.png,21
L_22,B,기하학적 추상형,B08,기하학적추상,L_22.png,22
L_23,B,기하학적 추상형,B09,기하학적추상,L_23.png,23
L_24,B,기하학적 추상형,B10,기하학적추상,L_24.png,24
L_25,B,기하학적 추상형,B11,기하학적추상,L_25.png,25
L_26,B,기하학적 추상형,B12,기하학적추상,L_26.png,26
L_27,B,기하학적 추상형,B13,기하학적추상,L_27.png,27
L_28,B,기하학적 추상형,B14,기하학적추상,L_28.png,28
L_29,C,유기적 추상형,C01,유기적추상,L_29.png,29
L_30,C,유기적 추상형,C02,유기적추상,L_30.png,30
L_31,C,유기적 추상형,C03,유기적추상,L_31.png,31
L_32,C,유기적 추상형,C04,유기적추상,L_32.png,32
L_33,C,유기적 추상형,C05,유기적추상,L_33.png,33
L_34,C,유기적 추상형,C06,유기적추상,L_34.png,34
L_35,C,유기적 추상형,C07,유기적추상,L_35.png,35
L_36,C,유기적 추상형,C08,유기적추상,L_36.png,36
L_37,C,유기적 추상형,C09,유기적추상,L_37.png,37
L_38,C,유기적 추상형,C10,유기적추상,L_38.png,38
L_39,C,유기적 추상형,C11,유기적추상,L_39.png,39
L_40,C,유기적 추상형,C12,유기적추상,L_40.png,40
L_41,D,문자 기반 심볼형,D01,문자기반,L_41.png,41
L_42,D,문자 기반 심볼형,D02,문자기반,L_42.png,42
L_43,D,문자 기반 심볼형,D03,문자기반,L_43.png,43
L_44,D,문자 기반 심볼형,D04,문자기반,L_44.png,44
L_45,D,문자 기반 심볼형,D05,문자기반,L_45.png,45
L_46,D,문자 기반 심볼형,D06,문자기반,L_46.png,46
L_47,D,문자 기반 심볼형,D07,문자기반,L_47.png,47
L_48,D,문자 기반 심볼형,D08,문자기반,L_48.png,48
L_49,D,문자 기반 심볼형,D09,문자기반,L_49.png,49
L_50,D,문자 기반 심볼형,D10,문자기반,L_50.png,50
